url,name,contact,currency,created_at,updated_at,budget,is_ir35,status,budget_units,normal_billing_rate,hours_per_day,uses_project_invoice_sequence,billing_period,
https://api.freeagent.com/v2/projects/1662259,CLIMSOFT Development,https://api.freeagent.com/v2/contacts/6492971,GBP,2018-01-19T15:12:52.000Z,2018-01-19T15:12:52.000Z,0,FALSE,Active,Hours,0,8,FALSE,hour,
https://api.freeagent.com/v2/projects/1224688,Colcencias 1: Setting up baseline,https://api.freeagent.com/v2/contacts/4809973,GBP,2016-07-11T10:54:32.000Z,2017-08-18T11:15:28.000Z,3175,FALSE,Completed,Monetary,635,7,FALSE,day,
https://api.freeagent.com/v2/projects/1260412,Colcencias 2. Online platform design,https://api.freeagent.com/v2/contacts/4809973,GBP,2016-08-31T12:58:57.000Z,2017-08-18T11:15:30.000Z,10120,FALSE,Completed,Monetary,635,7,FALSE,day,
https://api.freeagent.com/v2/projects/1224692,Colcencias 3: Training course design,https://api.freeagent.com/v2/contacts/4809973,GBP,2016-07-11T10:55:27.000Z,2017-08-18T11:15:32.000Z,32386,FALSE,Completed,Monetary,635,7,FALSE,day,
https://api.freeagent.com/v2/projects/1260417,Colcencias 4. Project management,https://api.freeagent.com/v2/contacts/4809973,GBP,2016-08-31T13:01:06.000Z,2017-08-18T11:15:34.000Z,9645,FALSE,Completed,Monetary,635,7,FALSE,day,
https://api.freeagent.com/v2/projects/1260423,Colcencias 5. Additional technical support,https://api.freeagent.com/v2/contacts/4809973,GBP,2016-08-31T13:03:24.000Z,2016-08-31T15:35:21.000Z,4500,FALSE,Active,Monetary,635,7,FALSE,day,
https://api.freeagent.com/v2/projects/1535550,Colciencias 6 - Addendum to original contract,https://api.freeagent.com/v2/contacts/4809973,GBP,2017-08-08T08:54:26.000Z,2018-03-21T10:37:08.000Z,8,FALSE,Completed,Days,630,7,FALSE,day,
https://api.freeagent.com/v2/projects/1592759,Communications,https://api.freeagent.com/v2/contacts/4712404,GBP,2017-10-20T11:41:26.000Z,2017-10-20T11:41:26.000Z,0,FALSE,Active,Hours,0,7,FALSE,hour,
https://api.freeagent.com/v2/projects/1241225,Computer Equipment Purchases,https://api.freeagent.com/v2/contacts/4712404,GBP,2016-08-02T09:47:00.000Z,2016-08-31T10:28:58.000Z,0,FALSE,Hidden,Hours,0,8,FALSE,hour,
https://api.freeagent.com/v2/projects/1770211,Consultant services 13005826,https://api.freeagent.com/v2/contacts/6905065,GBP,2018-05-29T09:43:01.000Z,2018-05-29T09:43:01.000Z,3960,FALSE,Active,Monetary,0,7,FALSE,hour,
https://api.freeagent.com/v2/projects/1244023,CottonConnect-Impact Evaluation of the Organic Cotton Farmers’ Training Programme,https://api.freeagent.com/v2/contacts/4882253,USD,2016-08-05T09:42:39.000Z,2016-11-21T15:59:23.000Z,93450,FALSE,Active,Monetary,950,7,FALSE,day,
https://api.freeagent.com/v2/projects/1292019,Cumulative Genetic Asthma Paper,https://api.freeagent.com/v2/contacts/5054730,GBP,2016-10-10T11:27:28.000Z,2017-08-18T11:33:29.000Z,0,FALSE,Completed,Hours,630,7,FALSE,day,
https://api.freeagent.com/v2/projects/1582899,Data Management Document Review,https://api.freeagent.com/v2/contacts/6134542,USD,2017-10-09T10:36:16.000Z,2018-04-18T15:58:31.000Z,30000,FALSE,Completed,Monetary,0,7,FALSE,day,
https://api.freeagent.com/v2/projects/1589971,Datatree - Training portal,https://api.freeagent.com/v2/contacts/6159410,GBP,2017-10-17T16:21:20.000Z,2018-04-30T08:38:03.000Z,72000,FALSE,Active,Monetary,630,7,FALSE,day,
https://api.freeagent.com/v2/projects/1237922,Discretionary Grant 2016,https://api.freeagent.com/v2/contacts/4861135,GBP,2016-07-28T12:24:11.000Z,2017-07-05T11:23:09.000Z,0,FALSE,Completed,Hours,630,7,FALSE,day,
https://api.freeagent.com/v2/projects/1559814,Dummy for Chris' use,https://api.freeagent.com/v2/contacts/4712404,GBP,2017-09-11T10:44:13.000Z,2017-09-11T10:44:13.000Z,0,FALSE,Active,Hours,0,8,FALSE,hour,
https://api.freeagent.com/v2/projects/1307316,EU Endline Survey ,https://api.freeagent.com/v2/contacts/5110874,GBP,2016-10-28T12:26:53.000Z,2018-04-18T14:11:38.000Z,0,FALSE,Completed,Hours,741,7,FALSE,day,
https://api.freeagent.com/v2/projects/1237050,FoodTrade : 2012-123,https://api.freeagent.com/v2/contacts/4705253,GBP,2016-07-27T12:03:54.000Z,2017-07-05T11:23:29.000Z,0,FALSE,Completed,Hours,630,7,FALSE,day,
https://api.freeagent.com/v2/projects/1570728,FoodTrade Endlines,https://api.freeagent.com/v2/contacts/4705253,GBP,2017-09-25T12:04:31.000Z,2018-01-19T09:44:05.000Z,73,FALSE,Active,Days,630,7,FALSE,day,
https://api.freeagent.com/v2/projects/1291994,GAIN,https://api.freeagent.com/v2/contacts/4962880,GBP,2016-10-10T11:13:39.000Z,2017-08-18T10:51:16.000Z,0,FALSE,Completed,Hours,630,7,FALSE,day,
https://api.freeagent.com/v2/projects/1264381,Ghana - Western Region Coastal Foundation Citizen Perceptions and SocioEconomic Survey,https://api.freeagent.com/v2/contacts/5174723,GBP,2016-09-05T14:50:47.000Z,2017-07-05T11:23:53.000Z,38,FALSE,Completed,Days,630,7,FALSE,day,
https://api.freeagent.com/v2/projects/1275080,Grant 2016-18,https://api.freeagent.com/v2/contacts/4861135,GBP,2016-09-19T14:23:30.000Z,2017-05-11T16:39:32.000Z,0,FALSE,Active,Hours,630,7,FALSE,day,
https://api.freeagent.com/v2/projects/1307639,IFAD-Leshoto,https://api.freeagent.com/v2/contacts/4962880,GBP,2016-10-28T16:50:36.000Z,2017-08-18T11:39:18.000Z,70620,FALSE,Active,Monetary,630,7,FALSE,day,
https://api.freeagent.com/v2/projects/1596573,Internal development and investment,https://api.freeagent.com/v2/contacts/4712404,GBP,2017-10-25T13:15:27.000Z,2017-10-25T13:15:27.000Z,0,FALSE,Active,Hours,0,7,FALSE,hour,
https://api.freeagent.com/v2/projects/1814414,Jeune Leader,https://api.freeagent.com/v2/contacts/7068889,EUR,2018-07-19T16:08:46.000Z,2018-07-19T16:08:46.000Z,5833,FALSE,Active,Monetary,0,8,FALSE,day,
https://api.freeagent.com/v2/projects/1580268,Job Measurement and Implementation Support (JMIS) Programme,https://api.freeagent.com/v2/contacts/6125321,GBP,2017-10-05T09:36:06.000Z,2017-10-05T09:37:52.000Z,0,FALSE,Active,Days,630,7,FALSE,day,
https://api.freeagent.com/v2/projects/1328721,Kosovo Training,https://api.freeagent.com/v2/contacts/5169588,GBP,2016-11-21T09:42:14.000Z,2017-04-18T16:56:48.000Z,17,FALSE,Completed,Days,630,7,TRUE,day,
https://api.freeagent.com/v2/projects/1564172,L&D Training,https://api.freeagent.com/v2/contacts/4705253,GBP,2017-09-15T15:22:43.000Z,2017-09-15T15:22:43.000Z,5040,FALSE,Active,Monetary,630,7,FALSE,day,
